REGISTRO_ANIMAL rgd_pai rgd_mae idade18 GC18 p550_aj GP345_aj conformacao_sob precocidade_sob musculosidade_sob umbigo_sob aol egs egp acab altura_sob pe_sob sexo safra GM_SOB
KAP3272 JAVAJ746 KAP602 640 M2010N_INF 341,17 177,26 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 34,00 M 2010 N_INF
KAP3274 GRI8683 KAP1450 641 M2010N_INF 419,58 192,25 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 29,00 M 2010 N_INF
KAP3275 GRI8683 KAP1450 639 M2010N_INF 359,35 186,94 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 29,50 M 2010 N_INF
KAP3277 AAAP1653 KAP574 640 M2010N_INF 397,03 231,41 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 32,00 M 2010 N_INF
KAP3278 F6211 KAP1982 646 F2010S08 306,50 114,21 5,00 3,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3281 F6211 KAP1824 646 F2010S08 309,06 196,17 5,00 3,00 3,00 1,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3282 F6211 KAP1982 646 F2010S08 267,34 125,62 5,00 3,00 3,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3284 F6211 KAP1982 644 F2010S08 271,58 92,82 4,00 3,00 3,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3285 AAAP1653 VRC2971 638 M2010N_INF 398,28 245,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2010 N_INF
KAP3286 JAVAJ746 QUI2668 645 F2010S08 200,39 39,93 1,00 1,00 1,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3288 F6211 KAP1824 637 M2010N_INF 371,27 170,46 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 27,50 M 2010 N_INF
KAP3290 F6211 KAP1982 636 M2010N_INF 351,97 153,78 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 29,00 M 2010 N_INF
KAP3291 7700 KAP1960 634 M2010N_INF 356,98 199,27 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2010 N_INF
KAP3292 AAAP1653 KAP574 642 F2010S08 287,85 146,32 4,00 3,00 3,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3293 F6211 KAP1824 635 M2010N_INF 378,50 166,32 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 32,00 M 2010 N_INF
KAP3294 JGAL2576 GEN5398 642 F2010S08 234,74 136,03 3,00 3,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3295 CSCN7384 FGP618 632 M2010N_INF 315,90 182,94 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 29,00 M 2010 N_INF
KAP3296 F6211 KAP1982 634 M2010N_INF 405,99 185,46 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 32,50 M 2010 N_INF
KAP3301 1752 PORT597 630 F2010S08 309,92 145,99 5,00 3,00 4,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3303 JGAL2206 KAP1742 629 F2010S08 285,06 144,35 5,00 4,00 4,00 4,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3304 CSCN7384 KAP1408 623 F2010S08 302,81 99,49 5,00 5,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3305 BRUMA0376 QUI2668 619 F2010S08 311,87 140,89 5,00 3,00 4,00 4,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3306 CSCN7384 FGP618 612 M2010N_INF 380,15 206,37 0,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 0,00 29,00 M 2010 N_INF
